"R.t_start","R.t_end","R.Mean.R.","R.Std.R.","R.Quantile.0.025.R.","R.Quantile.0.05.R.","R.Quantile.0.25.R.","R.Median.R.","R.Quantile.0.75.R.","R.Quantile.0.95.R.","R.Quantile.0.975.R."
2,8,6.76030974822973,3.2204524999684,2.63972080243207,2.88805534163169,4.13362216527015,5.97936187828517,8.87724503834797,12.9456043144802,14.1477348451966
3,9,5.0629758349315,2.29633501616819,2.25879206917928,2.426763603474,3.24343826176915,4.44234735263607,6.44067137853707,9.60528625681443,10.6116154181789
4,10,4.19616773098069,1.57850812575688,2.20419401970043,2.33845313289297,2.95978489062007,3.79831160923338,5.13897717227427,7.28009214304036,7.99932453174852
5,11,3.30796792105211,0.978631236934957,1.95406953390061,2.0628896395308,2.53531551424231,3.10783072579421,3.93254731707477,5.17015688440714,5.55074486031479
6,12,2.43843825856559,0.605307870896057,1.53137061812021,1.61413461219259,1.96002128561151,2.34552705971364,2.84574589790081,3.5531309863889,3.75806675577635
7,13,2.18148163675515,0.470695603697265,1.45398401050156,1.52437920399559,1.80984949704436,2.11882894551813,2.50693517750804,3.03248349297282,3.18579031879518
8,14,2.26192726522081,0.411772870557614,1.61343574392073,1.68040859516803,1.94040446551623,2.2088532634585,2.54629467389837,3.00406319285438,3.13705265726725
9,15,2.09857418157941,0.326119486176316,1.5635019432593,1.62420168309302,1.84982970362746,2.06424520134688,2.3215783526769,2.68037791513951,2.78736078071093
10,16,1.8762176596815,0.268299204211101,1.41737198523707,1.47178635572049,1.674213909841,1.85677205964181,2.06087129411439,2.34455219552635,2.43098056662693
11,17,1.6129148091785,0.226982918291811,1.22059309892021,1.26750348081911,1.44192788411983,1.59924440097077,1.77059713518641,2.00493689031461,2.07689311729474
12,18,1.55538758496548,0.207484228893657,1.20011800535664,1.24298532192762,1.3990809969549,1.53999353866377,1.6990071943683,1.91652213459704,1.9828149888325
13,19,1.4565688307474,0.175016409326966,1.15560825632502,1.19339904433392,1.32753908287458,1.44271367814714,1.57393624702676,1.76445219782783,1.8236952509612
14,20,1.4027245919794,0.147405721616382,1.1419169438063,1.17697263534522,1.29667744383609,1.39325406373774,1.49994634330341,1.66005561335854,1.71185720825142
15,21,1.3154895572658,0.125939193227449,1.08696151430027,1.11922460364099,1.22645705316309,1.30937954378047,1.39816172639396,1.53256399828471,1.57664483329775
16,22,1.18309502563344,0.109538497767319,0.981619727333105,1.01067358005666,1.10640489046963,1.1786612663176,1.25517280545435,1.37053778337097,1.40928756685414
17,23,1.10004724462074,0.0991172958259447,0.916887221342715,0.943661717134943,1.03082804319265,1.09621888916647,1.16517065138377,1.26929859237079,1.30437017791862
